Date Label,Measure Names,Measure Values
2015-11 (Nov),IAP Bookings,2500201.86999999
2015-12 (Dec),IAP Bookings,2620218.05999999
2016-1 (Jan),IAP Bookings,2611432.20999999
2016-2 (Feb),IAP Bookings,2450436.53999999
2016-3 (Mar),IAP Bookings,2982493.55999998
2016-4 (Apr),IAP Bookings,3027615.42999998
2016-5 (May),IAP Bookings,3205722.47999998
2016-6 (Jun),IAP Bookings,3383606.17999998
2016-7 (Jul),IAP Bookings,3381622.79999998
2016-8 (Aug),IAP Bookings,3082053.90999998
2016-9 (Sep),IAP Bookings,2813279.60999999
2016-10 (Oct),IAP Bookings,2635702.32999999
2016-11 (Nov),IAP Bookings,2355578.56999999
2016-12 (Dec),IAP Bookings,2574627.79999999
2017-1 (Jan),IAP Bookings,2483069.10999999
2017-2 (Feb),IAP Bookings,2320154.84999999
2017-3 (Mar),IAP Bookings,2595189.97999999
2017-4 (Apr),IAP Bookings,2434635.41999999
2017-5 (May),IAP Bookings,2503437.35999998
2017-6 (Jun),IAP Bookings,2284614.02999999
2017-7 (Jul),IAP Bookings,2131876.46999999
2017-8 (Aug),IAP Bookings,1865029.09999999
2017-9 (Sep),IAP Bookings,1794439.39
2017-10 (Oct),IAP Bookings,1836242.73999999
2017-11 (Nov),IAP Bookings,1499421.13
2017-12 (Dec),IAP Bookings,1493658.15
2018-1 (Jan),IAP Bookings,1560411.32
2018-2 (Feb),IAP Bookings,1347509.67
2018-3 (Mar),IAP Bookings,1411175.32
2018-4 (Apr),IAP Bookings,1259765.29
2018-5 (May),IAP Bookings,1102456.83
2018-6 (Jun),IAP Bookings,1089071.62
2018-7 (Jul),IAP Bookings,960997.65
2018-8 (Aug),IAP Bookings,852629.91
2018-9 (Sep),IAP Bookings,752572.780000001
2018-10 (Oct),IAP Bookings,648969.440000001
2018-11 (Nov),IAP Bookings,543815.700000001
2018-12 (Dec),IAP Bookings,482566.6
2019-1 (Jan),IAP Bookings,485378.930000001
2019-2 (Feb),IAP Bookings,388031.840000001
